titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion,url_portada
Batallón disciplinario,Karl von Vereiter,Aventuras; Bélico; Novela,,"De todas las unidades especiales que la Wehrmacht poseyó en el transcurso de la Segunda Guerra Mundial, ninguna fue tan tremendamente inhumana como los llamados batallones disciplinarios. Si pensamos que el Ejército alemán era, sin duda, la fuerza más rígida del mundo y que la disciplina era en él como el aire que respiraban sus soldados… ¿Cuál podía ser la exacta significación de esta rigidez en el seno de los batallones disciplinarios? Increíble, pero cierto y auténtico. Todos los datos de esta obra tremenda han sido sacados de los archivos de una de esas unidades especiales, a lo que ha venido a agregarse la suma de datos obtenidos, después de la guerra, en las conversaciones sostenidas con los escasos supervivientes de aquella salvaje unidad. Para el Mando germano, el castigo para un soldado debía alcanzar límites desconocidos en otros países. Por eso se dio libertad absoluta a los jefes de los Strafbatallionen que, generalmente, eran hombres poco corrientes, primitivos, sin conciencia, y a veces sádicos que no merecían vestir el uniforme.",https://ww3.lectulandia.com/book/batallon-disciplinario/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Karl%20von%20Vereiter/Batallon%20disciplinario%20(10)/small.jpg
Bombardero,Len Deighton,Bélico; Intriga; Novela,,"En una calurosa noche de junio de 1943, una fuerza de 700 bombarderos de la RAF se prepara para realizar su bombardeo húmero cuarenta y seis. El jefe de la operación es Sam Lambert. Entretanto, en un punto de Holanda, el piloto de la Luftwaffe Victor von Lowenherz está escandalizado por los excesos del régimen al que sirve En Altgarten, August Bach, comandante en jefe de la estación de radar, descubre demasiado tarde que está enamorado. Estos tres personajes, que no se conocen entre sí, quedan ligados por una cadena de grotescas ironías.",https://ww3.lectulandia.com/book/bombardero/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Len%20Deighton/Bombardero%20(15)/small.jpg
Las quimeras negras,Jean Lartéguy,Bélico; Novela,,"En medio de un África presa de todos los delirios, tres hombres: el cónsul Fonts, el coronel la Roncière y el ex legionario Kreis fraguan la más grande impostura de la historia: hacen creer al mundo que Katanga existe. Tienen a las Naciones Unidas sobre ascuas, cuando su secretario general, Hammarskjöld, muere en dramáticas circunstancias. Ni el heroísmo de Fonts ni la inteligencia de la Roncière, ni la firmeza y la conciencia de soldado profesional de Kreis logran imponerse a las «quimeras negras». El frágil decorado de la secesión katangueña se desmoronara inexorablemente tanto sobre los blancos como sobre los negros. Es un relato denso y violento, donde la garra de Lartéguy nos interna en el fascinante mundo del Continente Negro.",https://ww3.lectulandia.com/book/las-quimeras-negras/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Jean%20Larteguy/Las%20quimeras%20negras%20(9)/small.jpg
Tierra de asilo,Jean Lartéguy,Bélico; Novela,,"Sauveterre es un rincón de la Francia olvidada, cerril, en el que el autor sitúa la acción de su novela. En cierta manera, encarna allí los distintos caracteres de la futura Europa unida: alemanes protestantes, católicos franceses, emigrados políticos españoles... Como elemento de fondo, una meseta calcárea, vientos ásperos, nieve, rebaños de borregos, y una vieja granja semiderruida muestra de las luchas entre «maquisards» y alemanes. Un hombre y una mujer, maduros, vuelven el rostro hacia el pasado, tratando de reencontrar las huellas de su paso en la tierra del «Causse», y este simple gesto, este deseo nostálgico revive toda una época de la Historia de Francia, desde la última guerra hasta De Gaulle, en una inútil búsqueda del tiempo perdido.",https://ww3.lectulandia.com/book/tierra-de-asilo/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Jean%20Larteguy/Tierra%20de%20asilo%20(7)/small.jpg
Colina 112,Adrian Goldsworthy,Bélico; Histórico; Novela,,"Se avecina el día D. Sin embargo, para tres jóvenes del Gales del Sur, la guerra apenas ha comenzado. James, que en el colegio era el capitán de críquet, ahora está al mando de una tropa de tanques Sherman. Mark, con tan solo diecinueve años, debe liderar un pelotón de infantería de batalla. Y Bill, muchacho un tanto solitario, va a tener que sobrevivir como soldado raso en el corazón de la batalla. Son todavía casi unos niños, pero eso, en la guerra no importa. Están a punto de participar en uno de los episodios más sangrientos y brutales de toda la campaña de Normandía; en realidad, de toda la guerra: la batalla por la colina 112. Y es que ese día, el 6 de junio de 1944, el designio de la Segunda Guerra Mundial, y con ella el curso de la historia moderna, cambia para siempre. De momento, ellos aún no lo saben…, pero quienes sobrevivan a la matanza nunca volverán a ser los mismos.",https://ww3.lectulandia.com/book/colina-112/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Adrian%20Goldsworthy/Colina%20112%20(14)/small.jpg
Qué quedará de nosotros,Eduardo Sacheri,Bélico; Drama; Novela,Guerra de las Malvinas,"En abril de 1982, ante la recuperación de las Malvinas por parte de las Fuerzas Armadas argentinas, tres soldados reservistas de la clase 1962 son reincorporados a filas y enviados a las islas. Llenos de expectativa, de curiosidad, de sed de aventura, Carlitos, Antonio y el Conejo se internan en ese territorio desconocido que se irá tornando cada vez más inhóspito a medida que las lejanas negociaciones diplomáticas fracasen y se desencadene la guerra con los británicos. Se enfrentarán entonces a las privaciones, el frío, el miedo, y esa soledad que sólo podrá ser paliada a duras penas por la fuerza de su amistad. Y conocerán, junto a sus compañeros y sus jefes, la amplia gama de sentimientos y actitudes —la nobleza, el egoísmo, la valentía, la estupidez— nacidos en la situación límite que la guerra impone a los seres humanos. En este conmovedor relato, Eduardo Sacheri pone el foco en el escenario bélico de las Malvinas y sus protagonistas: los militares de todas las jerarquías y variada conducta, y estos tres jóvenes que, apenas salidos de la adolescencia, se enfrentan a lo que les ha tocado con los recursos propios de una edad en la que se tiene toda la vida —y la muerte— por delante.",https://ww3.lectulandia.com/book/que-quedara-de-nosotros/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Eduardo%20Sacheri/Que%20quedara%20de%20nosotros%20(16)/small.jpg
Las hazañas del brigadier Gerard (trad. Amando Lázaro Ros),Arthur Conan Doyle,Aventuras; Bélico; Histórico; Relato,,"De la simpatía y admiración romántica que Sir Arthur Conan Doyle profesaba por la «aventura imperial francesa» nos ha quedado una biografía de Napoleón, The Great Shadow , y diecisiete espléndidos relatos protagonizados por el heroico, jactancioso, valiente, humano y no excesivamente perspicaz Etienne Gerard, oficial de húsares del Emperador. Los primeros relatos de Gerard aparecen como serie en 1895 en el Strand Magazine, y se reúnen en un volumen titulado The exploits of Brigadier Gerard al año siguiente: son los ocho relatos que integran la presente selección, ocho aventuras de ritmo trepidante, imaginación, intriga, humor e ironía, ambientadas magistralmente gracias al gran conocimiento que Conan Doyle tenía de la época y de las guerras napoleónicas. Quizá sorprenda a ciertos lectores el punto de vista que el autor ofrece sobre las campañas del ejército napoleónico en España, y sobre este «Primer Imperio» francés en general, pero hay que tener en cuenta que, fuera del ámbito español, la guerra napoleónica en España se contempla como una pugna entre los ejércitos inglés y francés, confrontación en la que la resistencia interior de los guerrilleros españoles sólo contribuye, con su labor de desgaste, a la expulsión del ejército francés invasor.",https://ww3.lectulandia.com/book/las-hazanas-del-brigadier-gerard-trad-amando-lazaro-ros/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Arthur%20Conan%20Doyle/Las%20hazanas%20del%20brigadier%20Gerard%20(92)/small.jpg
Los últimos de la lista,Grégory Cingal,Bélico; Drama; Histórico; Novela,,"Agosto de 1944. Treinta y siete oficiales de inteligencia aliados, condenados a muerte, entran en el Bloque 17 del campo de concentración de Buchenwald. Entre ellos, el comandante Forest Yeo-Thomas, enviado especial de Churchill como enlace con los líderes de la Resistencia; el capitán Harry Peulevé, responsable de la SOE (red creada para sabotear y espiar a los nazis), y el teniente Stéphane Hessel, agente de los servicios secretos de la Francia Libre (y posteriormente célebre autor de ¡Indignaos! ). Tres semanas después de su llegada, el jefe del bloque recibe una primera lista de hombres que van a ser ejecutados. Pronto les tocará a esos tres oficiales. Con la complicidad de la resistencia clandestina del campo, los tres trazarán un plan arriesgado: entrar en los mortíferos barracones donde se experimenta con una vacuna contra el tifus. Una carrera contrarreloj que dejará sin aliento a los lectores mientras viven los días de coraje, angustia y esperanza de un puñado de hombres atrapados en las luchas de poder de Buchenwald.",https://ww3.lectulandia.com/book/los-ultimos-de-la-lista/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Gregory%20Cingal/Los%20ultimos%20de%20la%20lista%20(1)/small.jpg
Cinco meses de invierno,James Kestrel,Bélico; Novela; Policíaco,,"Diciembre de 1941. Mientras los nazis siembran el caos en Europa y Estados Unidos intenta mantenerse al margen del conflicto, en Honolulú la apacible vida del inspector Joe McGrady, de la policía de Hawái, da un vuelco cuando le encargan esclarecer la muerte del joven Henry Kimmel Willard, sobrino del almirante de la marina estadounidense destinado en la zona, y de una chica japonesa, ambos asesinados con una crueldad inimaginable en la granja de un hacendado local. La compleja investigación obliga a McGrady a recorrer el Pacífico, desde Hawái hasta Hong Kong y otros enclaves remotos de la región, mientras la flota japonesa avanza en secreto hacia Pearl Harbor, dispuesta a lanzar el primer golpe de la confrontación militar más cruenta de la historia. Sin embargo, ni siquiera la guerra podrá detener al solitario y sensible McGrady en su implacable búsqueda de una verdad devastadora. Elogiada por autores de la talla de Stephen King, Dennis Lehane o Lee Child, Cinco meses de invierno es mucho más que una apasionante novela policíaca: es un fresco épico de los años de la Segunda Guerra Mundial en el Pacífico y sus consecuencias visibles e invisibles, así como una profunda meditación sobre el choque de dos mundos y una desgarradora historia de traición, amor, supervivencia y búsqueda de la propia identidad.",https://ww3.lectulandia.com/book/cinco-meses-de-invierno/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/James%20Kestrel/Cinco%20meses%20de%20invierno%20(1)/small.jpg
Tenko,Anthony Masters; Michael Hardwick,Bélico; Drama; Novela,,"La novela, basada en la serie televisiva de la BBC que alcanzó un enorme éxito en Inglaterra, narra las penalidades de un grupo de mujeres internadas en los campos de concentración japoneses durante la segunda guerra mundial. El título es una palabra japonesa que alude a un recuento periódico de prisioneras que se hace en dichos campos y que va acompañado de un estricto ritual de obediencia de éstas hacia sus guardianes. La acción del relato se inicia en el año 1942. Se desarrolla primero en Singapur poco antes de ser conquistado por los japoneses, y nos muestra la cómoda vida de los británicos en el Lejano Oriente. Cuando se produce la caída de Singapur y la derrota del ejército inglés, un gran número de mujeres, esposas e hijas de militares, enfermeras, misioneras, criadas, etc., van a parar a los campos de concentración japoneses. Separadas de sus seres queridos y sin esperanzas de ser rescatadas, pasan más de tres años en medio de la jungla y en durísimas condiciones de vida. «Tenko» resalta ante todo los conflictos de personalidad y la gran resistencia de estas mujeres ante la desgracia. Las protagonistas son: Rose Millar, una mujer caprichosa y egoísta, que jamás ha trabajado, Marion Jefferson, la esposa de un coronel, que se convierte en líder de las prisioneras, una arrogante dama inglesa, una monja de firmes convicciones, una muchacha eurasiática… Pero con el bombardeo de Hiroshima y Nagasaki, Japón se rinde, e inmediatamente terminan para aquel grupo de mujeres años enteros de humillaciones y sufrimientos. No obstante, la liberación y el traslado al lujoso hotel Raffles les traerán amargura y desengaños. Después de la terrible experiencia de su encierro, la vida jamás podrá ser la misma para ellas.",https://ww3.lectulandia.com/book/tenko/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Anthony%20Masters/Tenko%20(1)/small.jpg
